"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Jul 24 2009","2455038","270129601","44.71","3.86e-8","1.31e-8","-1.72","-","130.21","1e-8","0","bin51.log"
"Jul 31 2009","2455045","270734401","43.45","4.74e-8","1.52e-8","-1.72","-","123.53","1e-8","0","bin52.log"
"Aug 07 2009","2455051","271339201","31.64","5.09e-8","1.71e-8","-1.72","-","117.00","1e-8","0","bin53.log"
"Aug 14 2009","2455058","271944001","25.56","2.95e-8","1.28e-8","-1.72","-","110.64","1e-8","0","bin54.log"
"Aug 21 2009","2455065","272548801","48.32","4.52e-8","1.44e-8","-1.72","-","104.44","1e-8","0","bin55.log"
"Aug 28 2009","2455072","273153601","50.64","4.92e-8","1.41e-8","-1.72","-","98.39","1e-8","0","bin56.log"
"Sep 04 2009","2455079","273758401","25.33","2.82e-8","1.23e-8","-1.72","-","92.47","1e-8","0","bin57.log"
"Sep 11 2009","2455086","274363201","19.79","3.02e-8","1.29e-8","-1.72","-","86.66","1e-8","0","bin58.log"
"Sep 18 2009","2455093","274968001","68.44","6.46e-8","1.71e-8","-1.72","-","80.93","1e-8","0","bin59.log"
"Sep 25 2009","2455100","275572801","33.48","2.53e-8","1.14e-8","-1.72","-","75.26","1e-8","0","bin60.log"
"Oct 02 2009","2455107","276177601","33.87","2.93e-8","1.27e-8","-1.72","-","69.61","1e-8","0","bin61.log"
"Oct 09 2009","2455114","276782401","16.27","2.44e-8","1.21e-8","-1.72","-","63.96","1e-8","0","bin62.log"
"Oct 16 2009","2455121","277387201","37.58","2.90e-8","1.20e-8","-1.72","-","58.26","1e-8","0","bin63.log"
"Oct 23 2009","2455128","277992001","29.56","3.85e-8","1.41e-8","-1.72","-","52.51","1e-8","0","bin64.log"
"Oct 30 2009","2455135","278596801","33.93","2.69e-8","1.30e-8","-1.72","-","46.67","1e-8","0","bin65.log"
"Nov 06 2009","2455142","279201601","74.72","4.75e-8","1.45e-8","-1.72","-","40.76","1e-8","0","bin66.log"
"Nov 13 2009","2455149","279806401","58.8","4.60e-8","1.37e-8","-1.72","-","34.79","1e-8","0","bin67.log"
"Nov 20 2009","2455156","280411201","32.67","3.30e-8","1.33e-8","-1.72","-","28.86","1e-8","0","bin68.log"
"Nov 27 2009","2455163","281016001","16.19","2.85e-8","1.36e-8","-1.72","-","23.17","1e-8","0","bin69.log"
