"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Nov 02 2012","2456233","373550401","52.02","5.08e-8","1.49e-8","-1.72","-","43.92","1e-8","0","bin222.log"
"Nov 09 2012","2456240","374155201","41.59","4.44e-8","1.42e-8","-1.72","-","37.97","1e-8","0","bin223.log"
"Nov 16 2012","2456247","374760001","48.27","6.62e-8","1.89e-8","-1.72","-","32.00","1e-8","0","bin224.log"
"Nov 23 2012","2456254","375364801","15.99","2.45e-8","1.31e-8","-1.72","-","26.15","1e-8","0","bin225.log"
"Nov 30 2012","2456261","375969601","11.32","2.03e-8","1.14e-8","-1.72","-","20.71","1e-8","0","bin226.log"
"Dec 07 2012","2456269","376574401","51.22","7.03e-8","1.76e-8","-1.72","-","16.43","1e-8","0","bin227.log"
"Dec 14 2012","2456276","377179201","76.29","5.76e-8","1.55e-8","-1.72","-","14.68","1e-8","0","bin228.log"
"Dec 21 2012","2456283","377784001","123.95","9.95e-8","2.07e-8","-1.72","-","16.54","1e-8","0","bin229.log"
"Dec 28 2012","2456290","378388801","50.64","5.53e-8","1.57e-8","-1.72","-","21.20","1e-8","0","bin230.log"
"Jan 04 2013","2456296","378993601","120.24","9.99e-8","2.03e-8","-1.72","-","27.32","1e-8","0","bin231.log"
"Jan 11 2013","2456303","379598401","78.05","8.89e-8","1.94e-8","-1.72","-","34.11","1e-8","0","bin232.log"
"Jan 18 2013","2456310","380203201","94.34","6.81e-8","1.66e-8","-1.72","-","41.20","1e-8","0","bin233.log"
"Jan 25 2013","2456317","380808001","87.57","7.81e-8","1.81e-8","-1.72","-","48.42","1e-8","0","bin234.log"
"Feb 01 2013","2456324","381412801","113.39","7.71e-8","1.72e-8","-1.72","-","55.67","1e-8","0","bin235.log"
"Feb 08 2013","2456331","382017601","48.34","4.76e-8","1.46e-8","-1.72","-","62.88","1e-8","0","bin236.log"
"Feb 15 2013","2456338","382622401","105.98","8.71e-8","1.98e-8","-1.72","-","70.02","1e-8","0","bin237.log"
"Feb 22 2013","2456345","383227201","106.56","4.96e-8","1.32e-8","-1.72","-","77.09","1e-8","0","bin238.log"
"Mar 01 2013","2456354","383832001","57.71","5.56e-8","1.54e-8","-1.72","-","84.07","1e-8","0","bin239.log"
"Mar 08 2013","2456361","384436801","24.18","4.24e-8","1.62e-8","-1.72","-","90.97","1e-8","0","bin240.log"
"Mar 15 2013","2456368","385041601","70.07","8.35e-8","1.93e-8","-1.72","-","97.82","1e-8","0","bin241.log"
"Mar 22 2013","2456375","385646401","54.36","4.92e-8","1.46e-8","-1.72","-","104.61","1e-8","0","bin242.log"
"Mar 29 2013","2456382","386251201","45.79","4.76e-8","1.50e-8","-1.72","-","111.37","1e-8","0","bin243.log"
"Apr 05 2013","2456389","386856001","7.64","2.03e-8","1.23e-8","-1.72","-","118.13","1e-8","0","bin244.log"
"Apr 12 2013","2456396","387460801","42.65","3.53e-8","1.20e-8","-1.72","-","124.89","1e-8","0","bin245.log"
"Apr 19 2013","2456403","388065601","28.27","3.76e-8","1.45e-8","-1.72","-","131.67","1e-8","0","bin246.log"
"Apr 26 2013","2456410","388670401","32.81","4.88e-8","1.54e-8","-1.72","-","138.50","1e-8","0","bin247.log"
"May 03 2013","2456417","389275201","6.69","1.85e-8","1.13e-8","-1.72","-","145.38","1e-8","0","bin248.log"
"May 10 2013","2456424","389880001","9.47","1.51e-8","9.46e-9","-1.72","-","152.30","1e-8","0","bin249.log"
"May 17 2013","2456431","390484801","61.12","3.91e-8","1.02e-8","-1.72","-","159.24","1e-8","0","bin250.log"
"May 24 2013","2456438","391089601","0.95","< 4.35e-8","-","-","-","166.11","1e-8","0","bin251.log"
"May 31 2013","2456445","391694401","25.53","3.00e-8","1.21e-8","-1.72","-","172.47","1e-8","0","bin252.log"
"Jun 07 2013","2456451","392299201","60.63","6.48e-8","1.69e-8","-1.72","-","174.97","1e-8","0","bin253.log"
"Jun 14 2013","2456458","392904001","50.55","3.85e-8","1.32e-8","-1.72","-","169.97","1e-8","0","bin254.log"
"Jun 21 2013","2456465","393508801","67.72","5.05e-8","1.58e-8","-1.72","-","163.18","1e-8","0","bin255.log"
"Jun 28 2013","2456472","394113601","110.15","8.01e-8","1.74e-8","-1.72","-","156.12","1e-8","0","bin256.log"
"Jul 05 2013","2456480","394718401","41.03","5.12e-8","1.53e-8","-1.72","-","149.02","1e-8","0","bin257.log"
"Jul 12 2013","2456487","395323201","55.83","5.44e-8","1.64e-8","-1.72","-","141.98","1e-8","0","bin258.log"
"Jul 19 2013","2456494","395928001","95.15","6.09e-8","1.60e-8","-1.72","-","135.05","1e-8","0","bin259.log"
"Jul 26 2013","2456501","396532801","47.69","4.44e-8","1.36e-8","-1.72","-","128.26","1e-8","0","bin260.log"
"Aug 02 2013","2456507","397137601","27.24","3.40e-8","1.38e-8","-1.72","-","121.62","1e-8","0","bin261.log"
"Aug 09 2013","2456514","397742401","34.49","5.63e-8","1.73e-8","-1.72","-","115.14","1e-8","0","bin262.log"
"Aug 16 2013","2456521","398347201","23.42","2.60e-8","1.11e-8","-1.72","-","108.83","1e-8","0","bin263.log"
"Aug 23 2013","2456528","398952001","99.33","7.17e-8","1.63e-8","-1.72","-","102.67","1e-8","0","bin264.log"
"Aug 30 2013","2456535","399556801","79.99","6.89e-8","1.83e-8","-1.72","-","96.66","1e-8","0","bin265.log"
"Sep 06 2013","2456542","400161601","33.07","6.18e-8","1.73e-8","-1.72","-","90.77","1e-8","0","bin266.log"
"Sep 13 2013","2456549","400766401","46.15","4.69e-8","1.55e-8","-1.72","-","84.99","1e-8","0","bin267.log"
"Sep 20 2013","2456556","401371201","55.13","5.77e-8","1.63e-8","-1.72","-","79.28","1e-8","0","bin268.log"
"Sep 27 2013","2456563","401976001","96.22","6.78e-8","1.61e-8","-1.72","-","73.62","1e-8","0","bin269.log"
"Oct 04 2013","2456570","402580801","133.6","1.02e-7","2.07e-8","-1.72","-","67.97","1e-8","0","bin270.log"
"Oct 11 2013","2456577","403185601","56.79","4.76e-8","1.56e-8","-1.72","-","62.31","1e-8","0","bin271.log"
"Oct 18 2013","2456584","403790401","141.36","1.14e-7","2.25e-8","-1.72","-","56.60","1e-8","0","bin272.log"
"Oct 25 2013","2456591","404395201","43.98","5.44e-8","1.99e-8","-1.72","-","50.82","1e-8","0","bin273.log"
"Nov 01 2013","2456598","405000001","97.37","7.11e-8","1.75e-8","-1.72","-","44.97","1e-8","0","bin274.log"
"Nov 08 2013","2456605","405604801","92.75","8.96e-8","1.92e-8","-1.72","-","39.03","1e-8","0","bin275.log"
"Nov 15 2013","2456612","406209601","145.04","8.81e-8","1.82e-8","-1.72","-","33.06","1e-8","0","bin276.log"
"Nov 22 2013","2456619","406814401","110.37","8.99e-8","1.87e-8","-1.72","-","27.17","1e-8","0","bin277.log"
"Nov 29 2013","2456626","407419201","64.33","7.22e-8","1.82e-8","-1.72","-","21.62","1e-8","0","bin278.log"
"Dec 06 2013","2456633","408024001","46.53","7.04e-8","2.25e-8","-1.72","-","17.05","1e-8","0","bin279.log"
"Dec 13 2013","2456640","408628801","43.07","5.38e-8","1.95e-8","-1.72","-","14.74","1e-8","0","bin280.log"
"Dec 20 2013","2456647","409233601","58.31","8.20e-8","2.39e-8","-1.72","-","15.96","1e-8","0","bin281.log"
"Dec 27 2013","2456654","409838401","66.99","7.01e-8","2.12e-8","-1.72","-","20.24","1e-8","0","bin282.log"
"Jan 03 2014","2456660","410443201","73.78","6.67e-8","1.59e-8","-1.72","-","26.17","1e-8","0","bin283.log"
"Jan 10 2014","2456667","411048001","135.28","4.97e-8","1.04e-8","-1.72","-","32.87","1e-8","0","bin284.log"
"Jan 17 2014","2456674","411652801","357.92","9.52e-8","1.19e-8","-1.72","-","39.93","1e-8","0","bin285.log"
"Jan 24 2014","2456681","412257601","169.43","6.75e-8","1.22e-8","-1.72","-","47.14","1e-8","0","bin286.log"
"Jan 31 2014","2456688","412862401","122.86","5.90e-8","1.16e-8","-1.72","-","54.38","1e-8","0","bin287.log"
"Feb 07 2014","2456695","413467201","119.97","7.69e-8","1.55e-8","-1.72","-","61.60","1e-8","0","bin288.log"
"Feb 14 2014","2456702","414072001","41.19","4.54e-8","1.80e-8","-1.72","-","68.76","1e-8","0","bin289.log"
"Feb 21 2014","2456709","414676801","61.82","7.02e-8","1.94e-8","-1.72","-","75.84","1e-8","0","bin290.log"
"Feb 28 2014","2456716","415281601","85.71","5.51e-8","1.49e-8","-1.72","-","82.83","1e-8","0","bin291.log"
"Mar 07 2014","2456725","415886401","205.06","6.36e-8","1.07e-8","-1.72","-","89.75","1e-8","0","bin292.log"
"Mar 14 2014","2456732","416491201","114.31","4.66e-8","1.09e-8","-1.72","-","96.60","1e-8","0","bin293.log"
"Mar 21 2014","2456739","417096001","172.91","7.68e-8","1.29e-8","-1.72","-","103.41","1e-8","0","bin294.log"
"Mar 28 2014","2456746","417700801","147.43","9.12e-8","1.70e-8","-1.72","-","110.17","1e-8","0","bin295.log"
"Apr 04 2014","2456753","418305601","52.8","5.21e-8","1.65e-8","-1.72","-","116.93","1e-8","0","bin296.log"
"Apr 11 2014","2456760","418910401","22.69","4.99e-8","1.85e-8","-1.72","-","123.68","1e-8","0","bin297.log"
"Apr 18 2014","2456767","419515201","69.89","6.57e-8","1.66e-8","-1.72","-","130.46","1e-8","0","bin298.log"
"Apr 25 2014","2456774","420120001","57.27","5.46e-8","1.48e-8","-1.72","-","137.28","1e-8","0","bin299.log"
"May 02 2014","2456781","420724801","71.24","6.37e-8","1.59e-8","-1.72","-","144.15","1e-8","0","bin300.log"
"May 09 2014","2456788","421329601","85.29","6.37e-8","1.65e-8","-1.72","-","151.07","1e-8","0","bin301.log"
"May 16 2014","2456795","421934401","145.66","1.05e-7","2.03e-8","-1.72","-","158.01","1e-8","0","bin302.log"
"May 23 2014","2456802","422539201","139.05","7.12e-8","1.55e-8","-1.72","-","164.91","1e-8","0","bin303.log"
"May 30 2014","2456809","423144001","39.82","6.52e-8","2.14e-8","-1.72","-","171.44","1e-8","0","bin304.log"
"Jun 06 2014","2456816","423748801","19.48","6.31e-8","2.89e-8","-1.72","-","175.19","1e-8","0","bin305.log"
"Jun 13 2014","2456823","424353601","68.54","1.01e-7","2.76e-8","-1.72","-","171.09","1e-8","0","bin306.log"
"Jun 20 2014","2456830","424958401","64.76","8.24e-8","2.09e-8","-1.72","-","164.42","1e-8","0","bin307.log"
"Jun 27 2014","2456837","425563201","21.78","3.37e-8","1.45e-8","-1.72","-","157.38","1e-8","0","bin308.log"
"Jul 04 2014","2456844","426168001","67.9","6.14e-8","1.82e-8","-1.72","-","150.28","1e-8","0","bin309.log"
"Jul 11 2014","2456851","426772801","146.59","8.52e-8","1.62e-8","-1.72","-","143.23","1e-8","0","bin310.log"
"Jul 18 2014","2456858","427377601","100.11","9.44e-8","1.93e-8","-1.72","-","136.27","1e-8","0","bin311.log"
"Jul 25 2014","2456865","427982401","67.68","7.02e-8","1.95e-8","-1.72","-","129.45","1e-8","0","bin312.log"
"Aug 01 2014","2456872","428587201","105.19","8.35e-8","1.88e-8","-1.72","-","122.78","1e-8","0","bin313.log"
"Aug 08 2014","2456879","429192001","145.48","7.24e-8","1.33e-8","-1.72","-","116.28","1e-8","0","bin314.log"
"Aug 15 2014","2456886","429796801","395.13","1.03e-7","1.23e-8","-1.72","-","109.94","1e-8","0","bin315.log"
"Aug 22 2014","2456893","430401601","182.91","8.47e-8","1.47e-8","-1.72","-","103.75","1e-8","0","bin316.log"
"Aug 29 2014","2456900","431006401","151.81","6.59e-8","1.21e-8","-1.72","-","97.72","1e-8","0","bin317.log"
"Sep 05 2014","2456906","431611201","80.46","7.27e-8","1.55e-8","-1.72","-","91.81","1e-8","0","bin318.log"
"Sep 12 2014","2456913","432216001","121.46","1.17e-7","2.24e-8","-1.72","-","86.01","1e-8","0","bin319.log"
"Sep 19 2014","2456920","432820801","106.52","1.04e-7","2.33e-8","-1.72","-","80.29","1e-8","0","bin320.log"
"Sep 26 2014","2456927","433425601","140.86","8.10e-8","1.57e-8","-1.72","-","74.62","1e-8","0","bin321.log"
"Oct 03 2014","2456934","434030401","264.18","8.52e-8","1.25e-8","-1.72","-","68.98","1e-8","0","bin322.log"
"Oct 10 2014","2456941","434635201","825.89","1.61e-7","1.40e-8","-1.72","-","63.32","1e-8","0","bin323.log"
"Oct 17 2014","2456948","435240001","483.75","1.36e-7","1.50e-8","-1.72","-","57.62","1e-8","0","bin324.log"
"Oct 24 2014","2456955","435844801","131.22","6.95e-8","1.41e-8","-1.72","-","51.86","1e-8","0","bin325.log"
"Oct 31 2014","2456962","436449601","88.22","5.73e-8","1.49e-8","-1.72","-","46.01","1e-8","0","bin326.log"
"Nov 07 2014","2456969","437054401","18.54","5.16e-8","1.90e-8","-1.72","-","40.09","1e-8","0","bin327.log"
"Nov 14 2014","2456976","437659201","79","7.99e-8","1.97e-8","-1.72","-","34.12","1e-8","0","bin328.log"
"Nov 21 2014","2456983","438264001","160.86","9.47e-8","1.61e-8","-1.72","-","28.20","1e-8","0","bin329.log"
"Nov 28 2014","2456990","438868801","129.98","5.72e-8","1.04e-8","-1.72","-","22.56","1e-8","0","bin330.log"
"Dec 05 2014","2456997","439473601","29.39","4.31e-8","1.27e-8","-1.72","-","17.75","1e-8","0","bin331.log"
"Dec 12 2014","2457004","440078401","29.6","6.56e-8","2.08e-8","-1.72","-","14.91","1e-8","0","bin332.log"
"Dec 19 2014","2457011","440683201","50.31","5.05e-8","1.47e-8","-1.72","-","15.48","1e-8","0","bin333.log"
"Dec 26 2014","2457018","441288001","73.22","5.19e-8","1.50e-8","-1.72","-","19.32","1e-8","0","bin334.log"
"Jan 02 2015","2457025","441892801","52.55","4.85e-8","1.52e-8","-1.72","-","25.04","1e-8","0","bin335.log"
"Jan 09 2015","2457032","442497601","261.51","1.44e-7","2.20e-8","-1.72","-","31.64","1e-8","0","bin336.log"
"Jan 16 2015","2457039","443102401","106.62","7.17e-8","1.67e-8","-1.72","-","38.66","1e-8","0","bin337.log"
"Jan 23 2015","2457046","443707201","97.66","6.95e-8","1.69e-8","-1.72","-","45.85","1e-8","0","bin338.log"
"Jan 30 2015","2457053","444312001","5.88","1.49e-8","1.21e-8","-1.72","-","53.10","1e-8","0","bin339.log"
"Feb 06 2015","2457059","444916801","146.52","9.33e-8","1.78e-8","-1.72","-","60.32","1e-8","0","bin340.log"
"Feb 13 2015","2457066","445521601","263.26","1.26e-7","2.00e-8","-1.72","-","67.49","1e-8","0","bin341.log"
"Feb 20 2015","2457073","446126401","160.47","8.70e-8","1.84e-8","-1.72","-","74.58","1e-8","0","bin342.log"
"Feb 27 2015","2457080","446731201","53.47","4.44e-8","1.41e-8","-1.72","-","81.60","1e-8","0","bin343.log"
"Mar 06 2015","2457090","447336001","93.19","6.86e-8","1.67e-8","-1.72","-","88.53","1e-8","0","bin344.log"
"Mar 13 2015","2457097","447940801","129.3","1.01e-7","1.90e-8","-1.72","-","95.39","1e-8","0","bin345.log"
"Mar 20 2015","2457104","448545601","98.88","6.48e-8","1.55e-8","-1.72","-","102.20","1e-8","0","bin346.log"
"Mar 27 2015","2457111","449150401","44.4","2.75e-8","9.50e-9","-1.72","-","108.97","1e-8","0","bin347.log"
"Apr 03 2015","2457117","449755201","97.14","7.21e-8","1.64e-8","-1.72","-","115.73","1e-8","0","bin348.log"
"Apr 10 2015","2457124","450360001","120.43","7.23e-8","1.64e-8","-1.72","-","122.48","1e-8","0","bin349.log"
"Apr 17 2015","2457131","450964801","133.25","7.57e-8","1.75e-8","-1.72","-","129.26","1e-8","0","bin350.log"
"Apr 24 2015","2457138","451569601","58.35","3.65e-8","1.16e-8","-1.72","-","136.07","1e-8","0","bin351.log"
"May 01 2015","2457145","452174401","104.56","8.72e-8","1.80e-8","-1.72","-","142.93","1e-8","0","bin352.log"
"May 08 2015","2457152","452779201","68.41","5.30e-8","1.50e-8","-1.72","-","149.83","1e-8","0","bin353.log"
"May 15 2015","2457159","453384001","70.32","6.77e-8","1.72e-8","-1.72","-","156.78","1e-8","0","bin354.log"
"May 22 2015","2457166","453988801","120.6","1.13e-7","2.29e-8","-1.72","-","163.69","1e-8","0","bin355.log"
"May 29 2015","2457173","454593601","108.02","9.22e-8","1.89e-8","-1.72","-","170.35","1e-8","0","bin356.log"
"Jun 05 2015","2457180","455198401","57.5","6.07e-8","1.60e-8","-1.72","-","175.07","1e-8","0","bin357.log"
"Jun 12 2015","2457187","455803201","123.19","9.12e-8","1.96e-8","-1.72","-","172.15","1e-8","0","bin358.log"
"Jun 19 2015","2457194","456408001","68.73","5.64e-8","1.91e-8","-1.72","-","165.65","1e-8","0","bin359.log"
"Jun 26 2015","2457201","457012801","41.4","6.10e-8","1.79e-8","-1.72","-","158.63","1e-8","0","bin360.log"
"Jul 03 2015","2457208","457617601","32.07","3.94e-8","1.56e-8","-1.72","-","151.54","1e-8","0","bin361.log"
"Jul 10 2015","2457215","458222401","46.31","4.73e-8","1.56e-8","-1.72","-","144.47","1e-8","0","bin362.log"
"Jul 17 2015","2457222","458827201","72.92","5.87e-8","1.59e-8","-1.72","-","137.50","1e-8","0","bin363.log"
"Jul 24 2015","2457229","459432001","89.63","7.50e-8","1.66e-8","-1.72","-","130.65","1e-8","0","bin364.log"
"Jul 31 2015","2457236","460036801","123.84","8.44e-8","1.87e-8","-1.72","-","123.96","1e-8","0","bin365.log"
"Aug 07 2015","2457243","460641601","92.36","7.28e-8","1.82e-8","-1.72","-","117.42","1e-8","0","bin366.log"
"Aug 14 2015","2457250","461246401","113.55","6.70e-8","1.58e-8","-1.72","-","111.05","1e-8","0","bin367.log"
"Aug 21 2015","2457257","461851201","65.07","5.95e-8","1.71e-8","-1.72","-","104.84","1e-8","0","bin368.log"
"Aug 28 2015","2457264","462456001","82.04","8.21e-8","1.87e-8","-1.72","-","98.78","1e-8","0","bin369.log"
"Sep 04 2015","2457270","463060801","51.35","4.29e-8","1.43e-8","-1.72","-","92.85","1e-8","0","bin370.log"
"Sep 11 2015","2457277","463665601","158.2","1.25e-7","2.20e-8","-1.72","-","87.04","1e-8","0","bin371.log"
"Sep 18 2015","2457284","464270401","190.79","1.21e-7","2.13e-8","-1.72","-","81.30","1e-8","0","bin372.log"
"Sep 25 2015","2457291","464875201","125.09","9.55e-8","1.96e-8","-1.72","-","75.63","1e-8","0","bin373.log"
"Oct 02 2015","2457299","465480001","84.23","8.68e-8","1.88e-8","-1.72","-","69.98","1e-8","0","bin374.log"
"Oct 09 2015","2457306","466084801","50.93","6.44e-8","1.81e-8","-1.72","-","64.32","1e-8","0","bin375.log"
"Oct 16 2015","2457313","466689601","99.44","8.45e-8","1.87e-8","-1.72","-","58.64","1e-8","0","bin376.log"
"Oct 23 2015","2457320","467294401","52.32","6.00e-8","1.74e-8","-1.72","-","52.89","1e-8","0","bin377.log"
"Oct 30 2015","2457327","467899201","73.74","4.58e-8","1.41e-8","-1.72","-","47.06","1e-8","0","bin378.log"
"Nov 06 2015","2457333","468504001","171.29","8.94e-8","1.76e-8","-1.72","-","41.15","1e-8","0","bin379.log"
"Nov 13 2015","2457340","469108801","53.85","6.19e-8","1.73e-8","-1.72","-","35.18","1e-8","0","bin380.log"
"Nov 20 2015","2457347","469713601","88.28","6.77e-8","1.70e-8","-1.72","-","29.24","1e-8","0","bin381.log"
"Nov 27 2015","2457354","470318401","44.56","5.01e-8","1.58e-8","-1.72","-","23.53","1e-8","0","bin382.log"
"Dec 04 2015","2457362","470923201","35.61","4.78e-8","1.55e-8","-1.72","-","18.50","1e-8","0","bin383.log"
"Dec 11 2015","2457369","471528001","40.41","5.01e-8","1.60e-8","-1.72","-","15.20","1e-8","0","bin384.log"
"Dec 18 2015","2457376","472132801","26.9","5.41e-8","1.73e-8","-1.72","-","15.11","1e-8","0","bin385.log"
"Dec 25 2015","2457383","472737601","57.9","5.68e-8","1.54e-8","-1.72","-","18.46","1e-8","0","bin386.log"
"Jan 01 2016","2457389","473342401","127.78","7.18e-8","1.67e-8","-1.72","-","23.94","1e-8","0","bin387.log"
"Jan 08 2016","2457396","473947201","79.75","6.15e-8","1.65e-8","-1.72","-","30.43","1e-8","0","bin388.log"
"Jan 15 2016","2457403","474552001","105.19","5.87e-8","1.54e-8","-1.72","-","37.39","1e-8","0","bin389.log"
"Jan 22 2016","2457410","475156801","113.16","8.24e-8","1.82e-8","-1.72","-","44.57","1e-8","0","bin390.log"
"Jan 29 2016","2457417","475761601","149.07","1.01e-7","1.95e-8","-1.72","-","51.81","1e-8","0","bin391.log"
"Feb 05 2016","2457423","476366401","181.52","1.15e-7","2.01e-8","-1.72","-","59.04","1e-8","0","bin392.log"
"Feb 12 2016","2457430","476971201","94.74","7.00e-8","1.60e-8","-1.72","-","66.22","1e-8","0","bin393.log"
"Feb 19 2016","2457437","477576001","70.43","7.34e-8","1.69e-8","-1.72","-","73.33","1e-8","0","bin394.log"
"Feb 26 2016","2457444","478180801","184.63","1.07e-7","2.01e-8","-1.72","-","80.36","1e-8","0","bin395.log"
"Mar 04 2016","2457453","478785601","129.94","9.45e-8","1.90e-8","-1.72","-","87.30","1e-8","0","bin396.log"
"Mar 11 2016","2457460","479390401","67.4","5.65e-8","1.48e-8","-1.72","-","94.18","1e-8","0","bin397.log"
"Mar 18 2016","2457467","479995201","118.64","8.48e-8","1.75e-8","-1.72","-","100.99","1e-8","0","bin398.log"
"Mar 25 2016","2457474","480600001","33.41","2.54e-8","1.17e-8","-1.72","-","107.77","1e-8","0","bin399.log"
"Apr 01 2016","2457480","481204801","97.68","7.99e-8","1.81e-8","-1.72","-","114.53","1e-8","0","bin400.log"
"Apr 08 2016","2457487","481809601","85.44","7.65e-8","1.71e-8","-1.72","-","121.28","1e-8","0","bin401.log"
"Apr 15 2016","2457494","482414401","101.24","6.52e-8","1.60e-8","-1.72","-","128.05","1e-8","0","bin402.log"
"Apr 22 2016","2457501","483019201","52.85","6.33e-8","1.84e-8","-1.72","-","134.86","1e-8","0","bin403.log"
"Apr 29 2016","2457508","483624001","73.36","5.45e-8","1.30e-8","-1.72","-","141.70","1e-8","0","bin404.log"
"May 06 2016","2457516","484228801","86.36","7.55e-8","1.66e-8","-1.72","-","148.60","1e-8","0","bin405.log"
"May 13 2016","2457523","484833601","53.41","3.63e-8","1.20e-8","-1.72","-","155.54","1e-8","0","bin406.log"
"May 20 2016","2457530","485438401","71.95","7.55e-8","1.85e-8","-1.72","-","162.47","1e-8","0","bin407.log"
"May 27 2016","2457537","486043201","34.59","4.10e-8","1.37e-8","-1.72","-","169.22","1e-8","0","bin408.log"
"Jun 03 2016","2457543","486648001","33.85","4.18e-8","1.35e-8","-1.72","-","174.63","1e-8","0","bin409.log"
"Jun 10 2016","2457550","487252801","69.21","6.73e-8","1.77e-8","-1.72","-","173.13","1e-8","0","bin410.log"
"Jun 17 2016","2457557","487857601","37.67","6.24e-8","1.94e-8","-1.72","-","166.86","1e-8","0","bin411.log"
"Jun 24 2016","2457564","488462401","27.76","3.04e-8","1.29e-8","-1.72","-","159.89","1e-8","0","bin412.log"
"Jul 01 2016","2457572","489067201","19.19","2.92e-8","1.27e-8","-1.72","-","152.80","1e-8","0","bin413.log"
"Jul 08 2016","2457579","489672001","16.34","3.06e-8","1.40e-8","-1.72","-","145.72","1e-8","0","bin414.log"
"Jul 15 2016","2457586","490276801","35.26","3.81e-8","1.36e-8","-1.72","-","138.73","1e-8","0","bin415.log"
"Jul 22 2016","2457593","490881601","65.33","7.10e-8","1.83e-8","-1.72","-","131.86","1e-8","0","bin416.log"
"Jul 29 2016","2457600","491486401","44.7","4.60e-8","1.42e-8","-1.72","-","125.13","1e-8","0","bin417.log"
"Aug 05 2016","2457606","492091201","0","< 1.51e-7","-","-","-","118.57","1e-8","0","bin418.log"
"Aug 12 2016","2457613","492696001","39.19","4.60e-8","1.39e-8","-1.72","-","112.17","1e-8","0","bin419.log"
"Aug 19 2016","2457620","493300801","24.09","4.18e-8","1.54e-8","-1.72","-","105.93","1e-8","0","bin420.log"
"Aug 26 2016","2457627","493905601","50.11","5.28e-8","1.68e-8","-1.72","-","99.85","1e-8","0","bin421.log"
"Sep 02 2016","2457633","494510401","0.31","< 3.21e-8","-","-","-","93.90","1e-8","0","bin422.log"
"Sep 09 2016","2457640","495115201","9.37","2.73e-8","1.30e-8","-1.72","-","88.06","1e-8","0","bin423.log"
"Sep 16 2016","2457647","495720001","69.38","6.85e-8","1.71e-8","-1.72","-","82.32","1e-8","0","bin424.log"
"Sep 23 2016","2457654","496324801","6.84","1.56e-8","9.48e-9","-1.72","-","76.63","1e-8","0","bin425.log"
"Sep 30 2016","2457661","496929601","19.58","3.79e-8","1.84e-8","-1.72","-","70.98","1e-8","0","bin426.log"
"Oct 07 2016","2457669","497534401","121.37","8.63e-8","1.86e-8","-1.72","-","65.33","1e-8","0","bin427.log"
"Oct 14 2016","2457676","498139201","29.31","3.79e-8","1.36e-8","-1.72","-","59.65","1e-8","0","bin428.log"
"Oct 21 2016","2457683","498744001","48.04","4.62e-8","1.50e-8","-1.72","-","53.91","1e-8","0","bin429.log"
"Oct 28 2016","2457690","499348801","31.73","3.55e-8","1.04e-8","-1.72","-","48.10","1e-8","0","bin430.log"
"Nov 04 2016","2457696","499953601","41.27","3.26e-8","1.02e-8","-1.72","-","42.20","1e-8","0","bin431.log"
"Nov 11 2016","2457703","500558401","18.9","4.77e-8","1.71e-8","-1.72","-","36.24","1e-8","0","bin432.log"
"Nov 18 2016","2457710","501163201","57.99","5.27e-8","1.56e-8","-1.72","-","30.29","1e-8","0","bin433.log"
"Nov 25 2016","2457717","501768001","40.24","4.92e-8","1.49e-8","-1.72","-","24.51","1e-8","0","bin434.log"
"Dec 02 2016","2457725","502372801","35.34","4.00e-8","1.39e-8","-1.72","-","19.31","1e-8","0","bin435.log"
"Dec 09 2016","2457732","502977601","18.01","3.26e-8","1.35e-8","-1.72","-","15.59","1e-8","0","bin436.log"
"Dec 16 2016","2457739","503582401","15.2","1.79e-8","1.06e-8","-1.72","-","14.85","1e-8","0","bin437.log"
"Dec 23 2016","2457746","504187201","30.55","3.87e-8","1.48e-8","-1.72","-","17.67","1e-8","0","bin438.log"
"Dec 30 2016","2457753","504792001","12.35","2.45e-8","1.21e-8","-1.72","-","22.87","1e-8","0","bin439.log"
"Jan 06 2017","2457759","505396801","48.42","5.67e-8","1.70e-8","-1.72","-","29.23","1e-8","0","bin440.log"
"Jan 13 2017","2457766","506001601","5.97","1.45e-8","1.13e-8","-1.72","-","36.14","1e-8","0","bin441.log"
"Jan 20 2017","2457773","506606401","10.54","1.97e-8","1.09e-8","-1.72","-","43.28","1e-8","0","bin442.log"
"Jan 27 2017","2457780","507211201","15.93","1.95e-8","1.02e-8","-1.72","-","50.52","1e-8","0","bin443.log"
"Feb 03 2017","2457787","507816001","1.31","< 2.81e-8","-","-","-","57.76","1e-8","0","bin444.log"
"Feb 10 2017","2457794","508420801","19.89","2.15e-8","1.05e-8","-1.72","-","64.95","1e-8","0","bin445.log"
"Feb 17 2017","2457801","509025601","21.03","3.36e-8","1.36e-8","-1.72","-","72.07","1e-8","0","bin446.log"
"Feb 24 2017","2457808","509630401","20.22","3.46e-8","1.40e-8","-1.72","-","79.11","1e-8","0","bin447.log"
"Mar 03 2017","2457817","510235201","32.22","4.71e-8","1.52e-8","-1.72","-","86.07","1e-8","0","bin448.log"
"Mar 10 2017","2457824","510840001","7.92","1.35e-8","9.93e-9","-1.72","-","92.96","1e-8","0","bin449.log"
